@MeasurementDateGMT,@Value,SpeciesCode,SiteCode,SpeciesName,SiteName,SiteType,Latitude,Longitude
2023-12-08 10:00:00,33.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-08 11:00:00,24.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-08 12:00:00,19.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-08 13:00:00,19.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-08 14:00:00,21.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-08 15:00:00,20.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-08 16:00:00,23.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-08 17:00:00,22.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-08 18:00:00,18.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-08 19:00:00,21.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-08 20:00:00,17.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-08 21:00:00,18.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-08 22:00:00,13.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-08 23:00:00,14.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-09 00:00:00,10.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-09 01:00:00,9.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-09 02:00:00,8.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-09 03:00:00,6.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-09 04:00:00,5.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-09 05:00:00,7.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-09 06:00:00,7.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-09 07:00:00,8.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-09 08:00:00,9.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-09 09:00:00,10.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-09 10:00:00,15.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-09 11:00:00,16.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-09 12:00:00,16.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-09 13:00:00,10.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-09 14:00:00,10.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-09 15:00:00,13.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-09 16:00:00,12.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-09 17:00:00,11.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-09 18:00:00,10.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-09 19:00:00,12.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-09 20:00:00,8.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-09 21:00:00,9.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-09 22:00:00,8.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-09 23:00:00,7.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-10 00:00:00,8.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-10 01:00:00,5.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-10 02:00:00,5.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-10 03:00:00,5.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-10 04:00:00,5.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-10 05:00:00,7.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-10 06:00:00,7.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-10 07:00:00,14.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-10 08:00:00,18.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-10 09:00:00,15.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-10 10:00:00,10.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-10 11:00:00,10.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-10 12:00:00,9.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-10 13:00:00,9.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-10 14:00:00,11.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-10 15:00:00,14.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-10 16:00:00,12.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-10 17:00:00,11.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-10 18:00:00,10.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-10 19:00:00,10.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-10 20:00:00,10.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-10 21:00:00,10.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-10 22:00:00,8.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-10 23:00:00,5.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-11 00:00:00,4.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-11 01:00:00,3.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-11 02:00:00,3.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-11 03:00:00,3.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-11 04:00:00,9.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-11 05:00:00,7.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-11 06:00:00,11.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-11 07:00:00,22.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-11 08:00:00,28.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-11 09:00:00,23.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-11 10:00:00,25.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-11 11:00:00,18.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-11 12:00:00,22.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-11 13:00:00,22.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-11 14:00:00,22.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-11 15:00:00,29.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-11 16:00:00,53.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-11 17:00:00,66.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-11 18:00:00,64.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-11 19:00:00,62.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-11 20:00:00,47.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-11 21:00:00,54.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-11 22:00:00,57.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-11 23:00:00,48.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-12 00:00:00,24.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-12 01:00:00,16.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-12 02:00:00,10.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-12 03:00:00,10.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-12 04:00:00,10.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-12 05:00:00,13.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-12 06:00:00,32.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-12 07:00:00,60.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-12 08:00:00,47.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-12 09:00:00,35.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-12 10:00:00,26.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-12 11:00:00,19.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-12 12:00:00,19.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-12 13:00:00,,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-12 14:00:00,18.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-12 15:00:00,24.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-12 16:00:00,25.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-12 17:00:00,25.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-12 18:00:00,23.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-12 19:00:00,21.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-12 20:00:00,17.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-12 21:00:00,18.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-12 22:00:00,14.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-12 23:00:00,12.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-13 00:00:00,14.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-13 01:00:00,12.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-13 02:00:00,14.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-13 03:00:00,12.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-13 04:00:00,12.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-13 05:00:00,15.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-13 06:00:00,18.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-13 07:00:00,24.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-13 08:00:00,33.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-13 09:00:00,30.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-13 10:00:00,26.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-13 11:00:00,23.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-13 12:00:00,28.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-13 13:00:00,22.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-13 14:00:00,21.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-13 15:00:00,23.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-13 16:00:00,25.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-13 17:00:00,27.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-13 18:00:00,34.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-13 19:00:00,35.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-13 20:00:00,30.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-13 21:00:00,21.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-13 22:00:00,21.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-13 23:00:00,16.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-14 00:00:00,17.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-14 01:00:00,14.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-14 02:00:00,17.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-14 03:00:00,18.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-14 04:00:00,17.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-14 05:00:00,24.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-14 06:00:00,29.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-14 07:00:00,34.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-14 08:00:00,37.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-14 09:00:00,40.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-14 10:00:00,41.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-14 11:00:00,31.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-14 12:00:00,28.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-14 13:00:00,33.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-14 14:00:00,35.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-14 15:00:00,37.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-14 16:00:00,39.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-14 17:00:00,42.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-14 18:00:00,44.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-14 19:00:00,43.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-14 20:00:00,44.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-14 21:00:00,44.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-14 22:00:00,42.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-14 23:00:00,43.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-15 00:00:00,43.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-15 01:00:00,42.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-15 02:00:00,43.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-15 03:00:00,40.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-15 04:00:00,40.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-15 05:00:00,38.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-15 06:00:00,38.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-15 07:00:00,44.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-15 08:00:00,46.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-15 09:00:00,47.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-15 10:00:00,51.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-15 11:00:00,51.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-15 12:00:00,48.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-15 13:00:00,47.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-15 14:00:00,47.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-15 15:00:00,45.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-15 16:00:00,34.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-15 17:00:00,35.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-15 18:00:00,36.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-15 19:00:00,32.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-15 20:00:00,31.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
2023-12-15 21:00:00,29.0,NO2,WAA,Nitrogen Dioxide,Wandsworth - Battersea,Roadside,51.4794395281222,-0.141786953606306
