target,site,pollutant,train_r2,train_rmse,train_mae,val_r2,val_rmse,val_mae,test_r2,test_rmse,test_mae,n_estimators,max_depth,min_samples_split,min_samples_leaf
GN4_PM10,GN4,PM10,0.876832371107944,0.03294116206160808,0.024637764270736936,0.7268041128718725,0.06905496198923754,0.04430248239574515,0.595823787946341,0.04428034395073957,0.028847937458592553,100,10,5,1
GN5_NO2,GN5,NO2,0.9186394510065709,0.042900831174826466,0.028910147082835194,0.8799295414861961,0.06850291507402899,0.047779476707791306,0.7871346857000197,0.05767672262480498,0.041553698672905655,100,10,5,2
GN5_PM10,GN5,PM10,0.8564766616326742,0.03539652631283433,0.026620346379340975,0.7282327865717755,0.0651485452589785,0.0415057697389754,0.6586217193175268,0.03426975127443242,0.024446054845213734,100,10,5,1
GN6_NO2,GN6,NO2,0.9303196677609479,0.033994478281645445,0.02544527504052011,0.8521164154359153,0.05722213921601553,0.03730942282884209,0.790611679891062,0.04223828531556367,0.029261460827795713,100,10,5,2
GN6_PM10,GN6,PM10,0.852972994669916,0.03959503944466348,0.029273094298644962,0.7554102274898912,0.07010930223689996,0.04539315319642197,0.6736859658477137,0.04375060227888349,0.03092247472431857,100,10,5,1
GN6_PM25,GN6,PM25,0.9463337037058351,0.019594460975050187,0.013635759578994718,0.8851355771581315,0.05456339652028145,0.03277870012624182,0.5274327207022372,0.015773345270198382,0.00594964334079072,100,10,2,1
GR7_NO2,GR7,NO2,0.9231445426730961,0.033350153854222575,0.02526388024875507,0.8800612710990657,0.046738500193706206,0.034872987548113105,0.7770834999530111,0.043318595691548556,0.03137055472142675,100,10,5,2
GR7_PM10,GR7,PM10,0.8691405771872813,0.028952630381845985,0.021718800416189996,0.750533018453694,0.05022077739010045,0.03511464004219301,0.6131876420821836,0.03803777508384908,0.025589038387113086,100,10,5,1
GR8_NO2,GR8,NO2,0.9163691337249551,0.029193062808354295,0.01882178079876856,0.8908499731530855,0.04152014507160584,0.02994760041637866,0.7929984566659081,0.031812160775967976,0.02305107946659102,100,10,5,2
GR8_PM10,GR8,PM10,0.863568616553943,0.01653112053591859,0.011224770701814102,0.7474042451585168,0.031722981165570284,0.02000405423117867,0.6473784394337727,0.017813789780240244,0.011615435533023967,100,10,5,1
GR9_NO2,GR9,NO2,0.9335587971291368,0.03633050781130433,0.026032475369404996,0.8741186092270745,0.051702448921926554,0.034792974448011195,0.8209803363942435,0.043401615099334385,0.028955039613434798,100,10,5,2
GR9_PM10,GR9,PM10,0.8730021805327427,0.03314567970425916,0.024965391958834595,0.7221371284914682,0.06302660391377628,0.0418683140819166,0.6050795833271523,0.04749889917616145,0.02984873429753832,100,10,5,1
GR9_PM25,GR9,PM25,0.9360329532007222,0.020302217499907262,0.015290036393369302,0.8877284483320736,0.03209457063365521,0.022770546895647042,0.6414520468350905,0.03721796060819598,0.019093712224932582,100,10,2,1
HG1_NO2,HG1,NO2,0.9358198641615663,0.02784009530392562,0.02016355440316478,0.8806596446670737,0.043151359488655644,0.02976737621561217,0.8598920737902586,0.02657330528920211,0.017707064110603885,100,10,5,2
HG4_NO2,HG4,NO2,0.9578231396610561,0.023918478654757915,0.01674901013306893,0.8998905609493656,0.039814535521975336,0.026428749204748962,0.8653222897543882,0.029797435166527966,0.01976275995789991,100,10,5,2
HG4_O3,HG4,O3,0.9765455854338908,0.01616456927954923,0.010447705591385062,0.950002961129852,0.03406769299698286,0.023702711782785674,0.9388289119196105,0.026983108373443535,0.01690910226169384,100,10,5,1
HP1_NO2,HP1,NO2,0.9481457737593477,0.023787962118672335,0.01642731625187115,0.8879691970716805,0.045016465247359215,0.02836589197994296,0.8160164017523912,0.03258444596164835,0.020092029265838026,100,10,5,2
HP1_O3,HP1,O3,0.972032504959474,0.0207237605614663,0.015444180686987202,0.9463443146662451,0.03212408867385809,0.022692003359733405,0.9345756811386678,0.0293636290200644,0.020690565864650963,100,10,5,1
HP1_PM10,HP1,PM10,0.9514795549194078,0.014001406585210357,0.009890999034951432,0.9014727311206606,0.028494299177327403,0.016880124924439997,0.8348593393898361,0.015939477361918336,0.010539629063677418,100,10,5,1
HP1_PM25,HP1,PM25,0.969887218375273,0.012511067926678145,0.008488109338340943,0.9280928501656235,0.030503989866381264,0.015978268562987345,0.8986137850989281,0.012496616776611163,0.007747965797774789,100,10,2,1
HV1_NO2,HV1,NO2,0.9188415728588983,0.035957841115674995,0.026107558439089393,0.8621991680651283,0.0607232290298045,0.03968264315446086,0.7956360412227317,0.03996736294084185,0.02734348047016199,100,10,5,2
HV3_NO2,HV3,NO2,0.9231083823875793,0.032654739153805824,0.0241748389848806,0.8718695687504161,0.043844690963282154,0.03047188612023453,0.798346704812056,0.04217490999622036,0.02851931200654846,100,10,5,2
HV3_PM10,HV3,PM10,0.9157229070785464,0.02219345139095373,0.015794116184916218,0.7802359982456595,0.04085984210706081,0.025032418480335793,0.7008748166981595,0.029604339430483774,0.018201446322329784,100,10,5,1
IS2_NO2,IS2,NO2,0.9254805752590658,0.03776788613356284,0.028072799541909325,0.8587888387010464,0.062231271903013884,0.044648139548845014,0.7252483598999342,0.051945730393977464,0.03882987796302017,100,10,5,2
IS2_PM10,IS2,PM10,0.8709997231587392,0.012449602848978208,0.0086575263500382,0.7897571570359225,0.02186444181709339,0.01563546440949182,0.4394054829876354,0.018250675167752885,0.013839790491298319,100,10,5,1
IS6_NO2,IS6,NO2,0.9550847209120477,0.0258030585627238,0.018857506225426895,0.8490080368853985,0.05340370727813408,0.03463031864204704,0.7931026069777853,0.04164976995849983,0.027218429090208683,100,10,5,2
IS6_PM10,IS6,PM10,0.8528288611980686,0.011331069460239703,0.007960701376025293,0.6817969020129451,0.020672135736631524,0.013012937245834199,0.42759527378586937,0.016916367330107054,0.010432842970621999,100,10,5,1
KC1_CO,KC1,CO,0.9517832236415029,0.013493354601108065,0.006758008606745666,0.8567376468489818,0.02484513904010564,0.010158076242988498,0.8231551108286426,0.013074253648460871,0.006690537825759898,100,10,2,2
KC1_NO2,KC1,NO2,0.9579102219999415,0.02611145491452357,0.01852999339257491,0.917517178933647,0.043595352944137786,0.02788803222465028,0.8400243687823687,0.0342986377543445,0.021923266632910957,100,10,5,2
KC1_O3,KC1,O3,0.9688951083109117,0.023832966315051426,0.01783484298487947,0.9392580306590912,0.03731063509360212,0.026278038123913234,0.9249994159589677,0.034518214670817234,0.024387288223337085,100,10,5,1
KC1_PM25,KC1,PM25,0.9722008756216475,0.011298475520757334,0.006917295305864323,0.907017282791764,0.04895045522007699,0.02282009995405047,0.8753494059404071,0.01989080097835742,0.010514469266682019,100,10,2,1
KC1_SO2,KC1,SO2,0.97663772238958,0.014315773552137192,0.009539682547564307,0.11162463571831072,1.0670098520205487,0.12077789032149215,0.861671994350103,0.018233629282310183,0.013588342495975517,100,10,5,2
LB4_NO2,LB4,NO2,0.8361366606341147,0.05273490718062289,0.039103844466882184,0.6733645734597168,0.06191980175297501,0.04663580393807518,0.6234548808877728,0.055342445868575486,0.04178194233282654,100,10,5,2
LB4_PM10,LB4,PM10,0.878014619082044,0.026241294676822575,0.01958769845489346,0.6901243961533237,0.04572017494241662,0.03262943176056319,0.6123729483086875,0.02413014944428655,0.01673241697790923,100,10,5,1
LB4_PM25,LB4,PM25,0.852170845188137,0.027078960617877634,0.02076391676071358,0.7357721158201226,0.0457739591370641,0.033909144175605525,0.5008668777239857,0.02689949909367392,0.018228848752807766,100,10,2,1
LB6_NO2,LB6,NO2,0.9528099996376477,0.02829644693589118,0.01898587174732466,0.8982924432336905,0.045755843813462024,0.031034283798677807,0.8529288909222887,0.030873825065702253,0.020997026939009535,100,10,5,2
LB6_PM10,LB6,PM10,0.8882599453719299,0.026723322653092657,0.02044827379249257,0.8073707179624532,0.05317785945067523,0.035389010636841516,0.38765853920895155,0.06447118889948099,0.0271818875086867,100,10,5,1
ME9_NO2,ME9,NO2,0.9232603152219588,0.03579412630358449,0.02601212939457324,0.8708337014160923,0.043427408194521226,0.031614457598158334,0.7706233234590524,0.03564933026511679,0.025665512686547307,100,10,5,2
MY1_CO,MY1,CO,0.9449746202652756,0.024482248327156748,0.0165947540461011,0.9381906973179936,0.028335374801482,0.018714455657639684,0.45252070118207144,0.1411041895482345,0.03086754954099037,100,10,2,2
MY1_NO2,MY1,NO2,0.9152313883584884,0.03872010180012337,0.02823320456470173,0.8397569917922221,0.043096297632421315,0.03150098145666878,0.772177581287888,0.060999471460446555,0.03828837260867073,100,10,5,2
MY1_O3,MY1,O3,0.9527777700071651,0.030698212523118166,0.02213775116906337,0.9367752606450775,0.043451062752205456,0.03028391989125693,0.9058022423866369,0.0350550082241009,0.01933766521089656,100,10,5,1
MY1_SO2,MY1,SO2,0.6926516585630895,0.00767563030464573,0.00177304277470436,0.33327550292497854,0.05540743043936179,0.007294705602959255,-9.790605012878924,0.02188903090226327,0.007632349868192326,100,10,5,2
RI1_NO2,RI1,NO2,0.9345848900124474,0.032805595458696234,0.02359305813778508,0.8947358739315743,0.053430185448816385,0.03690130709261921,0.8275061720810052,0.03342873979589737,0.023140518883332722,100,10,5,2
RI1_PM10,RI1,PM10,0.8384776867263244,0.0174795661294566,0.012314311251938345,0.7040397305051902,0.0326481844876165,0.019701235143012624,0.3880524224104007,0.025841398147711213,0.013363350293507504,100,10,5,1
RI2_NO2,RI2,NO2,0.9385812401209871,0.01466110878750519,0.008372352444357748,0.8898491853876045,0.03251748699299929,0.020344240212092378,0.8243350661991806,0.024962708786980783,0.015514493498792102,100,10,5,2
RI2_O3,RI2,O3,0.9774455511426294,0.01801260729296952,0.009952923166810351,0.9476012514326887,0.037701349624052145,0.02456607538384606,0.9278529660906615,0.03504987928430082,0.023832586349919978,100,10,5,1
RI2_PM10,RI2,PM10,0.8801534773831267,0.022574430208652862,0.0151257552959667,0.7775551236701076,0.053157144967188624,0.033899882680569156,0.6301464961335832,0.03363131913815037,0.01882759021005397,100,10,5,1
SK5_NO2,SK5,NO2,0.9380617520485856,0.03400980968935296,0.0244468069276292,0.8782931618316397,0.05440401525362878,0.03762401287903049,0.8059485183756125,0.041657335753585156,0.027935222591963377,100,10,5,2
SK5_PM10,SK5,PM10,0.8859089124241376,0.016991226425877644,0.010616104477637025,0.7916647405501934,0.0342513193231298,0.02302030628384096,0.6306125424356688,0.029007151391167385,0.01787949673443914,100,10,5,1
TH2_NO2,TH2,NO2,0.9552612479056348,0.026218824380536385,0.01957598875261327,0.9046001264266724,0.037591694389628026,0.0262178258704456,0.8781900675891128,0.031078057346782595,0.022414949035173895,100,10,5,2
TH4_NO2,TH4,NO2,0.9209120955348672,0.03117109455590581,0.023815564404712736,0.8717944185487678,0.03685270742751357,0.02562532600050715,-5.191427801834098e+28,0.018972078043176004,0.01524427624791919,100,10,5,2
TH4_O3,TH4,O3,0.9586860333263777,0.027975684369935448,0.021604886422990365,0.9137555023685194,0.03240764851225037,0.022913579094696702,-9.31953198299144e+28,0.016946393463492,0.013689097451356234,100,10,5,1
TH4_PM10,TH4,PM10,0.8681135056672367,0.020742200122234142,0.013798601995030899,0.78227461372824,0.05639787147271644,0.02718283005589914,-7.50238557311786e+28,0.007602386212132735,0.003240822607991084,100,10,5,1
TH4_PM25,TH4,PM25,0.9432848435319627,0.015925238585316595,0.011412561446729376,0.9223639243698945,0.032065943438152916,0.015569736114212952,0.0,0.0031894612107607264,0.00241862356192902,100,10,2,1
TL4_NO2,TL4,NO2,0.9278988288392451,0.027486011218994542,0.015728686799256826,0.7555169863447677,0.04409427133117446,0.02068269562125247,0.7961594413679806,0.04087340304283558,0.029538562992596586,100,10,5,2
TL5_NO2,TL5,NO2,0.9330344728111934,0.027299740746862717,0.018981310135713754,0.8755098009176694,0.04566773799198722,0.030019015226942003,0.7424994839544549,0.022299851563046848,0.01197650748528161,100,10,5,2
TL6_NO2,TL6,NO2,0.9050899673391382,0.015215218448339545,0.00944678195478364,0.8377828376731431,0.025272031963439582,0.016610792336584728,0.8091691492685131,0.015915250000927878,0.010853495101428653,100,10,5,2
TL6_PM25,TL6,PM25,0.8771490581061305,0.005154682342208524,0.002134512876133588,-0.29731186821007416,0.012823251184095148,0.004097502787398102,0.3387997324384845,0.004208476915793885,0.0024577676372813523,100,10,2,1
WA7_NO2,WA7,NO2,0.8350836083106353,0.015274875326259478,0.0074002041379641215,0.7931838898897474,0.024402311922650525,0.01774914372994112,0.6849769883265324,0.022397930591764436,0.016323839869352957,100,10,5,2
WA7_PM10,WA7,PM10,0.8594184783083149,0.02129247932704473,0.015236284900219969,0.6251436673091,0.04166302514902841,0.028505384721759588,0.30815784629785903,0.07190692546780772,0.023926501554887576,100,10,5,1
WA9_PM10,WA9,PM10,0.8963921363619214,0.02937369783622336,0.02221524370091037,0.7514686170246662,0.05622544817207054,0.03795603834583705,0.6372562556771263,0.042283945327602934,0.029912633686419346,100,10,5,1
WAA_NO2,WAA,NO2,0.954096184239425,0.017979564862066023,0.011399091523435148,0.885061705857682,0.035589802681997025,0.024358536960934034,0.81204735423107,0.021294918827366165,0.012618987498563789,100,10,5,2
WAA_PM10,WAA,PM10,0.8667972141753028,0.009898564007530315,0.005355458357855865,0.707217162347755,0.020840324199905703,0.012358516691739426,0.6224050930498258,0.01262382450155914,0.007653051216645342,100,10,5,1
WAB_NO2,WAB,NO2,0.9217709767018292,0.037411391350701324,0.02608551205751415,0.783238990287199,0.07579303045781881,0.046805540230293895,0.8408784183798468,0.04287744033145717,0.03215269889548118,100,10,5,2
WAB_PM10,WAB,PM10,0.8393901662146052,0.006680475309353613,0.004276491589894587,0.5817435407269929,0.013203848467103816,0.008152808058415976,0.5075905747308609,0.008447522399890708,0.005809263804372164,100,10,5,1
WAC_PM10,WAC,PM10,0.8402882455762574,0.02695577471202265,0.018942025350989922,0.7280070588960961,0.042801222260680685,0.02721201364402002,0.5365234020185154,0.026075718059887988,0.01763763990667915,100,10,5,1
WM5_NO2,WM5,NO2,0.9565690785019156,0.02153114521473978,0.014335325800311357,0.9037448769188601,0.04093307904100603,0.02758186358517599,0.820122882097425,0.031026341687736922,0.021787914394574098,100,10,5,2
WM6_NO2,WM6,NO2,0.8976004221396764,0.04376121031561763,0.03286285192026191,0.8399874877246374,0.05258880261487309,0.0391105504842119,0.7377003569346996,0.04758136718256737,0.03560260780801581,100,10,5,2
WM6_PM10,WM6,PM10,0.8931037439752515,0.025721404321472255,0.014819032195606959,-8.658325293684944e+27,0.005165319421116683,0.0033693138223355344,-2.808817220660092e+27,0.00294199529396763,0.0016149201627670843,100,10,5,1
WMD_NO2,WMD,NO2,0.8536604386978147,0.04269701083515407,0.031069276955080265,0.7670871254054783,0.04918126357557986,0.036895377776152934,0.5427160902982522,0.04710031976614566,0.03488106052146958,100,10,5,2
WMD_PM25,WMD,PM25,0.93871346502688,0.01637863333578918,0.012366041171367567,0.8921449143283593,0.031175206834106142,0.020497616510333237,0.734905498562502,0.018532315926464194,0.013436507432150654,100,10,2,1
